	transcript	backchannel	start	end	role	folder
535	 더 괴롭고 자꾸 더 생각이 날 거 같아요.	1	2335.0	2338.0	client	2
536	지금은 내 마음의 죄책감이 아무래도 더 커요.	0	2350.0	2356.0	client	2
537	부모님 마음에 상처를 주고자 그다음에 부모님과 아예 인연을 끊고자 그런 부분이 아니거든요. 어 	1	2404.0	2414.0	counselor	2
538	 긍정적으로 나아가고자 하기 위해서 내 마음을 명확하게 표현하는 부분이기 때문에 어 그 부분에 대해서는 보경님이 음 조금씩 조금씩 연습을 하셔야 되는 부분이에요. 어 	1	2414.0	2427.0	counselor	2
539	 네.	0	2427.0	2428.0	client	2
540	 꼭 하셔야 되는 부분이에요. 어렵지만.	1	2429.0	2434.0	counselor	2
541	네-	0	2432.0	2433.0	client	2
542	 혼자 하긴 조금 어려운 부분이세요.	1	2449.0	2454.0	counselor	2
543	 잘 하실 수 있는데 우리 보경님 마음이 어렸을 때 초등학교 때 그 어린 아이가 엄마의 우는 모습을 보고 자살하고 싶다는 그 단어를 들었을 때 얼마나 많이 불안했겠어요.	1	2460.0	2479.0	counselor	2
544	아까 처음에 울컥하는 그 마음이 한참 있으셨어요. 음	1	2520.0	2527.0	counselor	2
545	음 네	0	2530.0	2531.0	client	2
546	네 도망가고 싶은 그 마음에 대해서 여쭤봤을 때 굉장히 울컥하는 마음이 많이 올라왔었어요.	1	2532.0	2542.0	counselor	2
547	네 맞아요	0	2542.0	2544.0	client	2
548	네 어떤 감정이실까요? 그때 느껴졌던 감정. 어떤 감정이실까요?	1	2542.0	2550.0	counselor	2
549	 표현을 못하겠는데 음-	1	2558.0	2563.0	client	2
550	 되어본 적 없이 살아온 저에 대한 연민도 있는 것 같고	1	2603.0	2609.0	client	2
551	 많이 들여다 볼 수 있는 시대잖아요.	0	2631.0	2634.0	client	2
552	 뭐 정말 남들 전혀 남들의 시선 같은 거 전혀 아랑곳하지 않고	1	2638.0	2644.0	client	2
553	 이끌어 나가는 사람들이 너무 많은 거예요.	1	2656.0	2659.0	client	2
554	그게 직업이나 뭐 어떤 사회적 지위나 이런 걸 불문하고	1	2667.0	2672.0	client	2
555	 스스로 주체자로 보이는 그런 대상들이	1	2672.0	2676.0	client	2
556	 이렇게 돼버리는 내 자신이 또 싫기도 한 거예요.	1	2760.0	2764.0	client	2
557	 그런 감정들이 되게 복잡하게 있는 것 같아요	1	2773.0	2778.0	client	2
558	 그것도 이런 감정이 같이 포함이 된 것 같은데	1	2783.0	2786.0	client	2
559	 지금 완전히 좀 바보가 되어버렸는데	1	2800.0	2804.0	client	2
560	 그런 모든 권한과 자격이나 이런 걸	1	2820.0	2828.0	client	2
561	 다시 간다고 해도 또 그러고 살 것 같아요 근데	0	2845.0	2848.0	client	2
562	아 보경님	0	2849.0	2852.0	counselor	2
563	그래서 그게 많이 울컥했던 것 같아요.	0	2850.0	2854.0	client	2
564	아 자신에 대한 연민이 가장 크신 마음이시겠죠.	0	2855.0	2861.0	counselor	2
565	 아- 솔직히 그랬어요.	1	2861.0	2862.0	client	2
566	 근데 그거 얘기하기가 좀 창피하니까	1	2862.0	2865.0	client	2
567	 스스로 불쌍하다고 생각하는 사람 너무 너무 바보 같거든요.	1	2865.0	2870.0	client	2
568	 근데 이제 제가 그러고 있다는 얘기를 사실 하기가 창피했던 것 같아요.	1	2871.0	2875.0	client	2
569	그런데 그런 표현을 해주셨어요. 그만큼 보경님이 나를 인식하는 부분에서 굉장히 어 힘이 많이 있으세요.	1	2875.0	2886.0	counselor	2
570	그래서 오늘 단회기로 상담이라 너무나 많은 이야기들을 많이 나누지는 못했지만 내가 나를 찾아가는 어떤 그런 마음을 가지시고	1	2897.0	2909.0	counselor	2
571	앞으로도 타인에게 집중하는 삶보다는 나 자신에게 집중하면서 열심히 내 자신에게 물어보세요.	0	2909.0	2918.0	counselor	2
572	 내가 그렇게 했을 때 부모님은 어떻게 반응할까 자꾸 외부로 가는 시선을 자꾸 나한테 주는 거예요.	1	2958.0	2965.0	counselor	2
573	그래서 집중하시고 추후에는 상담을 받으시면서 꼭 그 부분에서 나를 찾아가는 그 시작은 하셨어요.	1	2965.0	2977.0	counselor	2
574	그렇게 하시면 부모님과의 관계도 건강하게 독립이 되실 것 같고	1	3000.0	3006.0	counselor	2
575	 또 어 남자친구와의 결혼하는 데 있어서도 독립이 돼야지 건강한 결혼 생활을 하실 수가 있거든요.	1	3006.0	3014.0	counselor	2
576	어떤 부분이 조금 긴장이 되셨을까요?	0	0.0	2.42	counselor	3
577	음 그냥 이런 게 처음이어서 약간은 좀 뭔가 두려움보다는 좀 신기하기도 하고 네 네	1	6.0	15.0	client	3
578	좀 그런 것 같네요. 네	0	15.0	17.0	client	3
579	그쵸 처음 경험을 하시는 부분이면 신기하기도 하고 네	1	16.89	21.38	counselor	3
580	어색하기도 하고 네	1	21.38	22.94	counselor	3
581	여러 가지 그런 마음이 있으시죠?	1	22.94	25.65	counselor	3
582	자 오늘 상당 50분오십분 진행을 하는데 우리 지수님은 어 좀 불편하게 불편한 부분	1	25.65	33.8	counselor	3
583	음 이런 부분은 이야기를 좀 나누고 싶다라고 하시는 부분은 어떤 부분일까요?	1	33.8	39.55	counselor	3
584	어 제가 일단은 지금 직장인인데, 음 조금 있으면 제가 이제 퇴사를 앞두고 있어요.	1	40.0	48.0	client	3
585	그래서 이제 뭔가 새로운 어떤 직장에서 시작을 해야 될 수도 있고,	1	48.0	55.0	client	3
586	어 아직 정확하게 제가 이제 향후 진로가 좀 결정이 되지 않은 상황인데,	1	56.0	60.0	client	3
587	그거에 대한 약간은 조금 두려움과 앞으로 좀 어떻게 인생을 살아가야 될지 그런 요즘 계속 고민들이 조금 있어서	1	61.0	70.0	client	3
588	조금 그런 시간들을 좀 보내고 있습니다.	1	71.0	73.0	client	3
589	이직은 정해지신 부분이시네요.	0	74.12	77.23	counselor	3
590	네. 이직은 어디 갈 직장은 아직 정해지진 않았지만, 제가 회사 내부 사정으로 저희 팀이 약간은 단체 이직같이 약간 좀 그런 상황이 돼 있어서	1	77.0	89.0	client	3
591	아	0	88.01	88.59	counselor	3
592	예 그런 상황이 있다 보니까 각자의 이제 진로의 길로 이제 서로 모색하는 시간이 좀 있어서	1	92.0	97.0	client	3
593	그니까 조금 심란하기도 하고, 에 어떻게 인생을 살아야 될지 약간 좀 그런 기로에 서 있습니다. 네	1	98.0	107.0	client	3
594	그러시네요. 우리 지수님 마음이나 의사와 상관없이	1	105.96	111.04	counselor	3
595	관계없이 회사 사정에 의해서 그만두시는 상황이 놓여지시면 굉장히 어려우시죠.	1	111.04	118.72	counselor	3
596	네 네	0	118.0	119.0	client	3
597	그래서 앞으로 진로를 어떻게 해야 될까 여러 가지 고민이 많으실 거라고 생각이 드네요. 음 	1	119.68	124.4	counselor	3
598	어 그런 부분에서 내가 좀 생각도 많이 하셨을 것 같아요. 네	1	124.96	131.12	counselor	3
599	내가 앞으로 어떻게 하고 살아야 되나 네	1	132.04	134.24	counselor	3
600	그런 부분에 대해서 좀 이야기를 나눠주시면 어떨까요?	1	134.96	138.03	counselor	3
601	업계가 바닥이 좁다고 네 그래서 사실 이직을 어느 정도 결정이 됐을 때 뭐 여러 업계에서 실제로 뭐 오퍼가 들어오기도 했고	1	143.0	152.0	client	3
602	지금 이렇게 곳곳에 면접을 좀 보러 다니고 있긴 하거든요.	1	153.0	156.0	client	3
603	근데 워낙 제가 지금 여기 있는 직장에서 3년 가까이 이제 실무자로 좀 근무를 하다 보니까	1	156.0	162.0	client	3
604	여기에 모든 환경들이 좀 익숙해져 있고 저는 나름 이 직장이 되게 좋은데	1	163.0	167.0	client	3
605	다른 직장 가서도 조금 이렇게 잘 그쪽 사람들하고 잘 지내고 과연 그쪽 가서도 어 직무에 좀 만 직무에 좀 만족을 할 수가 있을까?	1	168.0	177.0	client	3
606	약간 좀 그런 좀 고민들이 좀 있는 것 같아요. 네	1	178.0	180.0	client	3
607	지금 여기서에 제가 맡은 포지션에 너무 익숙해져 있다 보니까 뭔가 새로운 일을 했을 때	1	180.0	188.0	client	3
608	조금 잘 할 수 있을까? 약간은 좀 그런 게 좀 있는 것 같아요. 네	1	189.0	194.0	client	3
609	너무나 이제 3년삼년이면 굉장히 안정되게 적응이 되신 기간이기 때문에	1	196.4	202.36	counselor	3
610	네 네	0	200.0	202.0	client	3
611	내가 새로운 환경에 가서 잘 적응할 수 있을까라는 염려도 되시고 네	1	202.36	207.4	counselor	3
612	그런 마음이 당연히 있을 수 있죠.	1	207.92	209.96	counselor	3
613	음 그래서 면접을 보시면서 어 f 어떠신가요?	1	210.8	214.56	counselor	3
614	어 그냥 뭔가 저는 이렇게 들어가서 조금 부딪혀 보면서 제가 좀 이렇게 파악을 하는 스타일이라서	1	216.0	226.0	client	3
615	단순히 이제 제가 인터뷰어하고 인터뷰 하시는 분하고 이렇게 비교를 했을 때	1	226.0	234.0	client	3
616	그 직장의 분위기나 이런 것도 물론 그 이제 면접을 보시는 분이 저를 2이, 30분삼십분 안에	1	239.0	244.0	client	3
617	모든 거를 제 모든 거를 파악하기에는 턱없이 부족한 시간일 수도 있겠지만	3	245.0	249.0	client	3
618	그렇죠	0	249.92	251.02	counselor	3
619	그거는 2이, 30분삼십분 그 분하고 대화를 했다고 해서 아 이 일이 좀 어떤 일이고	1	251.0	256.0	client	3
620	여기 회사 직장 분위기가 어떻고 이런 걸 알 수가 없으니까 그거에 대해서 약간은 조금 음 걱정도 앞서고 네	1	257.0	263.0	client	3
621	약간 좀 그런 좀 걱정도 있기도 하고요.	1	271.0	274.0	client	3
622	네 요즘에 보면 왜 신입사원들이 직장에 들어가서 사람이 안 맞아서 또는 일이 안 맞아서	1	274.0	281.0	client	3
623	뭐 1년일년 안에 퇴사하는 비율이 엄청 많다고 해요.	1	282.0	284.0	client	3
624	그게 비단 뭐 남 일 같지는 않거든요. 네	1	285.0	287.0	client	3
625	그래서 그런 어떤 새출발을 되는 해 하고 또 적응을 해야 된다 약간 두려움 그런 게 좀 있는 것 같습니다.	3	287.0	296.0	client	3
626	그렇죠. 새출발하면서 새로운 사람들과 환경과 적응하는 데에 대한	1	298.48	303.4	counselor	3
627	어떤 불안도 있고 두려움도 있으시죠. 음 음 	1	303.4	308.7	counselor	3
628	그래요 이제 그 면접을 또 보러 다니고 계시는데 음	1	308.7	313.04	counselor	3
629	어 내가 어떻게 느껴지시나요? 음	0	313.04	317.24	counselor	3
630	아 약간 이제 면접에 들어가기 전에 음 그 이력서를 쓰잖아요. 네	1	319.0	325.0	client	3
631	이력서를 쓰면서 제가 이제 대학교를 졸업하고 3년삼년 이렇게 가까이 되는 시간을 실무자로 근무하면서 한번 쭉 돌이켜 보게 되더라고요.	3	325.0	337.0	client	3
632	과연 지금 직장에서 좀 의미 있는 시간이었는가 네 제가 또 뭔가 3년을 헛되게 보내지 않았는가 약간 좀 그런 생각들을 좀 많이 하게 됐고	1	337.0	348.0	client	3
633	제 나름 회사 다니면서 진짜 뭐 급여가 이렇게 큰 급여는 아니지만 그래도 제가 받는 급여 이상으로는 진짜 불평불만 갖지 않고 열심히 사회생활을 했다고 생각을 하거든요.	1	348.0	360.0	client	3
634	그래서 저는 뭐 후회가 없었고 앞으로 뭔가 새로운 직장에 가서도 지금 마음 초심 잃지 않고 꾸준하게 잘하면 그 직장에서도 구성원들과 잘 지내고 인정받을 수 있지 않을까 약간 좀 그런 생각도 좀 들기도 하더라고요. 네	1	360.0	378.0	client	3
635	실제로 이제 면접을 다니시면서 지숙님은 나 자신에 대해서 좀 자신감을 가지고 계시는 편이시네요?	1	379.11	386.75	counselor	3
636	어- 네. 왜냐하면 제가 지금 이제 어 하는 일들이 실제로 뭐- 아르바이트생들을 모집하고 관리도 하고 실제로 제가 직접 알바생들을 면접을 보기도 했고	1	387.0	397.0	client	3
637	인력관리에 인력관리도 제 업무 파트 중에 한 부분이었기 때문에 그게 뭐 면접을 본다고 해서 뭐 크게 두렵거나 네 새로운 사람들과의 뭔가 커뮤니케이션 하는 게 뭔가 어색하거나 그러진 않습니다. 네 네	2	397.0	414.0	client	3
638	굉장히 큰 자원을 가지고 계시네요.	1	417.2	419.64	counselor	3
639	굉장히 많은 또 경험이 되셨을 것 같아요.	1	420.83	423.08	counselor	3
640	많은 분들을 만나면서 아르바이트 면접도 보시고 하시면서 네	1	423.08	427.64	counselor	3
641	그런 경험들이 또 이제 지금 굉장히 또 긍정적으로 작용을 하고 계시네요. 음	0	428.36	433.16	counselor	3
642	자. 그럼 어떤 부분에 대한 내가 불안감이 좀 있을까요?	0	434.44	439.08	counselor	3
643	어- 아무래도 음 제가 지금 하는 일이 에 그- 박람회를 기획하고 운영하고 이런 일들을 좀 하고 있어요.	1	440.0	449.0	client	3
644	음 음	0	442.67	444.84	counselor	3
645	근데 이제 아무래도 지금 직장에서는 그런 일을 하지만 이제 제가 이직하게 될 직장에서는 그 범위를 넘어서 전반적인 어떤 뭐 마케팅 일도 좀 해야 되고 그런 부분들이 있어서	1	449.0	462.0	client	3
646	아직은 그런 부분들이 제가 직무에 대해서 경험이 많이 없다 보니까 뭔가 조금 어 이게 바로 지금 들어가서 과연 제가 좀 능력을 펼칠 수 있을까?	1	462.0	474.0	client	3
647	약간 좀 그런 생각도 좀 들기도 하고 뭔가 취업을 이제 이직을 조금 더 미루더라도 뭔가 직무 교육을 조금 더 받고 조금 새로운 시작을 해야 되지 않을까?	1	474.0	485.0	client	3
648	약간 좀 그런 고민도 있어요.	1	485.0	486.0	client	3
649	근데 제가 나이가 조금만 더 어렸으면 뭐 이런 걱정이 당연히 안 됐을 텐데 아무래도 좀 기업체에서 신입사원을 뽑을 때 남자도 뭐 어 30살 넘어가면 조금 부담스러워한다고 들어서	1	487.0	501.0	client	3
650	제가 아직 그 나이는 아니지만 20대이십대 이제 끝무렵이거든요. 네	1	501.0	505.0	client	3
651	그러다 보니까 뭐 아직 적지 적은 나이는 또 아니다 보니까 음 그런 것들을 조금 신중하게 좀 진로를 선택을 하고 조금 더 생각을 정립을 하고 해야 되겠구나 약간 좀 그런 생각이 들기도 하더라고요.	1	506.0	521.0	client	3
652	어 여러 가지 상황에서 내가 이제 앞으로 이제 어 미래에 대한 부분에서 더 이제 좀 치밀하게 계획도 세우고	1	524.0	532.52	counselor	3
653	이렇게 신중할 필요가 있구나 라는 거에 대해서 생각이 많으시군요. 음	0	532.52	537.08	counselor	3
654	예 이제 여러 경험도 있으시고 또 이제 면접도 보러 다니시면서 음 우리 지수님의 이제 장점도 있으시고	1	542.42	551.16	counselor	3
655	네 네	0	550.0	551.0	client	3
656	그래서 내가 조금 더 보완해서 들어 이렇게 좀 이직을 해야 하는 그런 부분이 있다면 또 어떤 부분이 있을까요?	0	551.16	558.04	counselor	3
657	어- 뭐 단점은 말씀드린 대로 좀 새로운 회사 가서는 대충 이제 저희가 업계가 어차피 하는 일들이 다 비슷비슷해서 어느 회사를 가든 뭐 일의 어떤 시스템이나 그런 건 아마 다 비슷할 거예요.	1	559.0	576.0	client	3
658	그래서 어- 뭐  제가 했던 일의 어떤 조금 연장선상일 것 같긴 한데 어 좀 마케팅 능력을 조금 더 키우고 싶고 그다음에 어 문서 작성 능력 그런 것도 좀 키울 수 키울 좀 보완을 하고 싶고	1	576.0	594.0	client	3
659	어- 장점으로는 제가 해왔던 일들이 음- 그 회사에서도 비슷한 어떤 포지션으로 조금 일부분을 할 수가 있다고 하면 그 능력은 좀 잘 펼칠 수 있겠다. 약간 그런 자신감들이 있는 것 같아요. 네	1	594.0	610.0	client	3
660	음 앞으로도 취업 환경이라든가 많은 사람들하고의 관계가 또 원만하셨을 것 같아요.	1	613.64	623.4	counselor	3
661	그래서 잘 적응하시리라는 생각이 들어요. 네	0	623.4	626.44	counselor	3
662	아 네 감사합니다.	0	626.0	627.0	client	3
663	자, 그래서 이제 이직을 고민하고 계시는 이제 그 중에 있으시니까 처음에는 굉장히 좀 황당한 부분도 있으셨을 것 같아요.	1	627.56	635.56	counselor	3
664	내 의사하고 관계없이 이루어진 일이기 때문에. 음	0	635.56	640.27	counselor	3
665	네 이게 음 회사 경영상의 문제로 저희 팀이 다 떠나는 건 아니고요. 여러가지 뭐 조직 내부의 어떤 그런 조금 이슈들이 좀 있어서 어- 어떻게 보면 회사 반 저희 팀원들의 어떤 자발적인 의사 반 그런 걸로 전체의 어떤 팀 해체 및 이직이 결정이 된 거고	1	640.0	662.0	client	3
666	실제로 저희가 이제 이쪽 채용 업계에서는 음 이직을 할 때 팀 단위로 좀 묶어서 같이 다른 회사로 넘어가는 경우들이 굉장히 많아요.	1	662.0	672.0	client	3
667	네 다른 업계에서도 어 뭐 인력 빼오기라고 하죠. 인력 빼오기. 예 	1	673.0	678.0	client	3
668	좋은 조건을 제시해서 인력 빼오기들이 그런 게 워낙 무궁무진해서 사실 이런 일들이 다반수이긴 한데	1	678.0	684.0	client	3
669	아직 저는 뭐 이 회사 들어와서 그런 경험이 또 처음이다 보니까 그런 부분에 대해서 나는 집에서도 직장이 가깝고 그래도 나름 업계에서 좀 이름이 알려진 회사를 다니고 있는데	1	684.0	700.0	client	3
670	여기를 뭔가 갑자기 떠나야 된다고 하니까 음 처음 들었을 때는 아무래도 좀 그런 부분들이 좀 황당하긴 했죠. 예	1	701.0	707.0	client	3
671	네 저희 뭐 이제 선배 어떤 사원분들 같은 경우에는 뭐 이직이나 이런 경험들이 좀 많으실 테니까 그런 거에 대해서 좀 충격 리스크들이 좀 덜했을 텐데	3	707.0	718.0	client	3
672	저는 아직 뭐 사회초년이라고 하면 전 초년일 수가 있으니까 그런 부분들이 경험이 없다 보니까 조금 처음 그런 어떤 게 됐을 때는 좀 황당하기도 했죠.	1	719.0	731.0	client	3
673	저는 그냥 거의 음 반타의적으로 그렇게 이직을 해야 되는 그런 강제적인 그런 부분들이 조금 있어가지고 네 제 의사와 좀 관계없이 저는 그렇게 됐던 부분이라서 네	1	731.0	750.0	client	3
674	처음에는 어떻게 그게 느껴지셨을까요? 그 이야기 들었을 때	0	750.56	755.27	counselor	3
675	음 조금 분노반, 어 걱정반이었던 것 같아요. 네	1	756.0	766.0	client	3
676	그러셨구나. 분노반 걱정반 어 그런 마음이 드셨을 것 같아요.	1	766.56	772.56	counselor	3
677	그러면 그 걱정반 분노에 대해서 이제 좀 이야기를 해주시면 어떨까요?	1	772.56	779.56	counselor	3
678	음 분노 같은 경우에는 아무래도 어 저희 어떤 경영진들의 조금 경영관리가 저희 밑에 실무자들이 보기에는 어 되게 조금 아쉬운 점들이 많았어요. 네	1	781.0	799.0	client	3
679	이 자리에서 뭐- 세세하게 말씀드리기는 조금 어려운 부분들이 있지만 회사 내부 사정이라 아무튼 좀 그런 문제들도 저희가 좀 단체로 넘어가게 되는 그런 이유 중에 하나였고 네	2	799.0	812.0	client	3
680	예 걱정반은 음 뭔가 좀 이렇게 단체로 갑자기 결정이 됐을 때 이런 게 어느 정도 조금 수순이 예측됐으면 모르는데 이런 일들이 불과 일어난 지가 얼마 안 됐거든요.	0	812.0	828.0	client	3
681	상황 속도가 좀 너무 빠르게 전개가 되다 보니까 뭔가를 이렇게 좀 차분하게 생각하고 준비할 시간이 많이 부족해가지고 그런 점들이 조금 걱정으로 다가왔던 것 같아요.	1	828.0	840.0	client	3
682	어쨌든 뭐 음 진짜 자기가 갖고 있는 게 부유하지 않은 이상 대부분의 사람들이 직장에서 일을 해야 되잖아요. 네 	3	841.0	851.0	client	3
683	그럼요.	0	850.56	851.87	counselor	3
684	근데 어쨌든 뭐 일을 하려고 하면 준비를 좀 하고 해야 되는데 그런 게 너무 갑작스럽게 전개들이 빨리빨리 이뤄지다 보니까	1	851.0	859.0	client	3
685	그런 게 조금 준비할 시간이 많이 부족했다는 거 새로운 거에 대해서 네	1	860.0	864.0	client	3
686	갑작스럽게 통보를 받았을 때 마음의 준비를 한다거나 다른 부분에서 뭐 준비를 할 수 있는 그런 여건이 충분하지 않았을 때도 굉장히 걱정이 많이 드셨을 것 같아요.	1	865.56	877.56	counselor	3
687	그런데도 불구하고 어  우리 지수님은 좀 잘 대처를 하시는 것 같아요. 내 마음을. 음	1	878.56	885.56	counselor	3
688	그 분노에 대한 부분을 조금 더 이야기를 나누면 좋을 것 같아요. 음	1	888.36	893.37	counselor	3
689	위에서 운영진들에 의해서 좀 음 그 운영을 좀 더 잘했으면 이런 상황이 발생되지 않았을 텐데.	1	895.56	905.15	counselor	3
690	어 네 음	0	905.2	908.29	counselor	3
691	어 진짜 제가 어 실무를 3년 가까이 일하면서 아까 말씀드린 대로 어 재직 기간 중에서도 다른 회사에서도 좀 넘어와달라고 오퍼를 제안을 몇 번 받은 적이 있거든요.	1	912.0	928.0	client	3
692	오퍼를 대부분 받았을 때는 자기보다 자기가 지금 다니고 있는 조건보다 대부분 다 훨씬 좋게 넘어가잖아요. 네	1	929.0	936.0	client	3
693	연봉 인상이라든지 뭐 직급이라든지. 사실 저는 회사에 대해서 나름 어- 그래도 제가 뭐- 아르바이트부터 시작해서 정사원까지 올라왔던 케이스인데 네	5	936.0	947.0	client	3
694	그래서 네 	5	948.0	950.0	client	3
695	대단하시네요.	0	948.56	950.56	counselor	3
696	그래서 남들보다 조금 애사심이라고 하면 애사심이 되게 컸던 회사여서 그런 부분들이 조금 너무 위의 관리직들에 의해서 결정이 됐던 부분들이라서	1	950.0	962.0	client	3
697	그러다 보니까 어 통보도 좀 늦어지게 되고 저희 밑에 예 실무급들한테는. 그러니까 그런 부분들이 조금 뭔가 안타까우면서도 조금 분노가 있었던 것 같아요.	1	962.0	977.0	client	3
698	그걸 조금 제 자신이 음 조금 마음을 좀 가라앉히고 차분하게 가라앉히고 조금 이렇게 어- 당황스러운 거를 극복한 지가 얼마 안 됐던 것 같아요 시간이. 네 	1	977.0	995.0	client	3
699	왜냐하면 사람이라는 게 그렇잖아요.  뭐 한두 달도 아니고 이렇게 3년 가까이 다녔던 회사를 갑자기 뭐 이렇게 어 본인이 퇴사를 계획해서 나가는 것도 아니고 어떤 영향에 의해서 이렇게 나가야 되는 상황이 마주친 거니까 그래서 일단 좀 그랬던 것 같아요. 네	2	995.0	1016.0	client	3
700	아르바이트부터 시작해서 꾸준히 이제 단계 단계 이렇게 네 음	0	1018.56	1026.06	counselor	3
701	맞아요. 아르바이트로 해서 이제 네 계약직 정규직 이런 식으로 계속 스텝을 좀 밟아서 올라갔던 것 같아요.	0	1023.0	1033.0	client	3
702	그렇기 때문에 더 많은 애사심도 있으셨을 것 같고,	1	1032.56	1036.56	counselor	3
703	더 열심히 또 일을 정말 성실하게 네	1	1036.56	1041.83	counselor	3
704	내 일처럼 하셨을 것 같아요. 네	0	1041.83	1044.25	counselor	3
705	그러기 때문에 그 이야기를 들었을 때는 이렇게 분노감이 네 경험이 되는 것은 굉장히 많이 공감이 되네요.	1	1044.25	1052.56	counselor	3
706	음 그런 것들을 이제 감정이나 걱정이나 분노감을 이제 추스른 지가 얼마 안 되셨다고 하셨어요. 네	1	1052.56	1062.56	counselor	3
707	시간이 좀 많이 필요하실 그 부분인데,	1	1062.56	1066.56	counselor	3
708	그것을 어떻게 내가 대처를 잘 하셨는지 그 이야기를 좀 나눠주시면 어떨까요?	1	1066.56	1071.97	counselor	3
709	네 음	1	1069.0	1071.0	client	3
710	일단은 어 저는 이렇게 조금 제가 마음이 심란할 때 주변에 제가 좀 의지할 수 있는 가까운 친구들을 좀 많이 만나서	1	1073.0	1083.84	client	3
711	음 음	0	1083.57	1084.08	counselor	3
712	이런 상황에 내가 조금 처해 있다. 이렇게 솔직하게 얘기를 하고요. 네	1	1083.84	1089.84	client	3
713	진한 친한 지인들하고 부모님하고 좀 되게 많이 얘기를 나눴던 것 같아요.	1	1089.84	1096.08	client	3
714	그래서 앞으로 음 인생을 좀 어떻게 살아가야 되고 어 이런 좀 고민들이 있는데	1	1096.08	1104.88	client	3
715	조금 네가 볼 때는 좀 어떻게 해야 될 것 같냐 친구들한테는. 너라면 어떻게 했을 것 같냐 물어보기도 하고	1	1104.88	1113.16	client	3
716	이렇게 좀 주변 사람들하고 좀 대화로 조금 이렇게 마음 심란한 거를 좀 정리를 하려고 했던 것 같아요.	1	1113.16	1119.6	client	3
717	이미 어쨌든 뭐 회사에서는 그렇게 결정이 된 상황이라 음 뭐 어쩔 수 없는 상황인 거잖아요. 이제 네	1	1119.6	1127.76	client	3
718	네 음	0	1126.85	1127.91	counselor	3
719	담담하게 받아들이려고 조금 마음을 많이 노력을 했던 것 같아요. 처음에는 그런 충격들이 컸지만	1	1136.84	1142.12	client	3
720	어차피 뭐 일어난 일이고 앞으로 좀 잘 해가지고 더 좋은 회사를 가야겠구나.	1	1142.12	1152.72	client	3
721	약간 좀 그런 스스로의 믿음감을 좀 심어주고 어 잘 준비해서 조금 오래 더 지금처럼 이렇게 오래 할 수 있는 회사를 잘 한번 들어가보자.	1	1152.72	1164.12	client	3
722	음 음	0	1163.55	1165.78	counselor	3
723	약간 좀 그런 생각을 가졌던 것 같아요. 네	0	1165.12	1168.92	client	3
724	지수님이 이제 좀 충격적인 그런 상황에서도 어 좀 힘들지만,	1	1168.56	1174.56	counselor	3
725	네 네	0	1171.55	1172.99	client	3
726	현실을 인정하려고 노력을 많이 하셨던 게 느껴지세요.	1	1174.56	1179.56	counselor	3
727	그렇게 하시면서 이제 가장 친한 친구들,	1	1179.56	1184.56	counselor	3
728	부모님, 지인들과 내가 이런 상황에 처해 있는데,	1	1184.56	1188.56	counselor	3
729	또 지지도 받으시고,	1	1192.56	1194.56	counselor	3
730	또 그러면서 조금 나 자신을 많이 추스렸던, 네	1	1194.56	1199.56	counselor	3
731	그게 또 우리 지수님한테 굉장히 긍정적인 부분이라고 좀 여겨 느껴져요.	1	1205.56	1210.56	counselor	3
732	평상시에 관계, 부모님과의 관계라든가 이제 지인들과의 관계가,	1	1210.56	1217.56	counselor	3
733	어떠실까요?	0	1220.56	1221.56	counselor	3
734	부모님은 어 저한테 어렸을 때부터 공부나 여러 가지 어떤 상황에 대해서 어 압박이나 스트레스를 전혀 안 주셨어요.	1	1221.8	1232.6	client	3
735	그래서 네가 이제 진로도 하고 싶은 걸 해라. 예 그래야 그거에 따라서 나중에 돈을 벌 때도 행복하게 벌 수가 있고 오래 할 수가 있다.	2	1232.6	1245.2	client	3
736	그래서 어 제가 어떤 고민을 학교 생활을 하면서 이제 다 고민을 겪잖아요.	1	1245.2	1250.0	client	3
737	누구든지 성적이라든지 뭐 고등학교에서 대학교 들어가야 되는 전공에 대한 어떤 선택에 대한 고민, 여러 가지 고민들이 있는데	3	1250.0	1257.8	client	3
738	그런 고민들이 있을 때 어떤 부모님한테 좀 이런 걸 솔직하게 털어놔서 좀 많은 조언도 듣고	1	1257.8	1267.38	client	3
739	주변 선배들한테도 음 이런 고민들이 있는데 어떻게 했으면 좋겠는지 그런 조언도 듣고	1	1267.38	1275.6	client	3
740	이번 어떤 일들도 겪으면서 음 네 옆에 이렇게 있는 사람들이 정말 소중하고 좀 더 진짜 어 잘해야겠구나 약간 좀 그런 생각도 들고 네 여러 가지 생각이 많이 드네요. 네.	1	1279.2	1299.2	client	3
741	내가 우리 지수님,	1	1300.56	1303.56	counselor	3
742	나를 통해서 음 내가 어려움에 처했을 때,	1	1303.56	1306.56	counselor	3
743	주변을 다시 한번 돌아보시면서,	1	1306.56	1309.56	counselor	3
744	또 도움을 받으면서,	1	1309.56	1311.99	counselor	3
745	어 지수님이 좋은 분이기 때문에 또 그런 분들이 많이 있으시겠죠. 네	1	1315.9	1322.56	counselor	3
746	잘 인정하시고, 수용하시고, 극복을 잘 하고 계신다 라고 느껴지세요.	1	1327.68	1334.17	counselor	3
747	근데 지수님은 내가 가지고 있는 생각, 이런 감정들을,	1	1334.17	1339.56	counselor	3
